0,26e22210-93e5-11eb-b997-8dd98d09cf25,New Millennium Network,52.75,100,70,75.1,ACCEPT,Moderate name similarity | Perfect geographic match | Strong business context match
0,01004641-1dd8-11ef-9268-316fc8e174dd,Private Helipad Ali Villa,46.55,100,15,61.62,REVIEW,Moderate name similarity | Perfect geographic match | Some business context match
0,8266efc1-13e7-11ec-aa14-7bf90e1e10f1,24seven Research Network,74.7,0,50,39.88,REJECT,Strong name similarity | Moderate business context match
0,0183f0b2-93e5-11eb-be5a-4f810ab55f2e,EmerioSoft,28.8,60,55,46.52,REJECT,Country match | Moderate business context match
0,87bb7cde-93e4-11eb-8474-3bbe2d07207d,Asiatic Public Relations Network,46.6,80,40,58.64,REVIEW,Moderate name similarity | Perfect geographic match | Moderate business context match
1,8b99ef83-93e4-11eb-b997-8dd98d09cf25,2operate,100,80,20,76,ACCEPT,Strong name similarity | Perfect geographic match | Some business context match
1,92d0f2d4-0581-11ec-8c14-3f55c5871ced,CO 2 Operate,72,0,20,32.8,REJECT,Strong name similarity | Some business context match
1,06393b6c-93e5-11eb-86dd-ffbd1b53140e,Conzentrate,55.4,60,0,46.16,REJECT,Moderate name similarity | Country match
1,0b470651-93e5-11eb-b4a6-27899be4e45d,2A Pharma ApS.,49.8,100,10,61.92,REVIEW,Moderate name similarity | Perfect geographic match | Some business context match
1,01db9ab2-06b1-11ec-984c-7f34b099c1c2,RenSams Solutions,28.6,100,0,51.44,REVIEW,Perfect geographic match
10,0273e4e5-c273-11ec-83ff-c5dd0998ee52,Accentures,70,0,13,30.6,REJECT,Strong name similarity | Some business context match
10,0357e142-1597-11ee-812a-77c4c37edeba,Accenture Bratislava Campus Office,68.47,0,35,34.39,REJECT,Moderate name similarity | Moderate business context match
10,00cf38f4-f8ab-11ed-8629-7d5d4c8e5628,Accenture,84.67,0,35,40.87,REJECT,Strong name similarity | Moderate business context match
10,182e8830-1b02-11ec-81d0-432e4ac5b2cc,Accenture Norge,76.87,60,35,61.75,REVIEW,Strong name similarity | Country match | Moderate business context match
10,0358900e-f20b-11ee-81a6-a9eee5edcb22,Accenture,84.67,0,35,40.87,REJECT,Strong name similarity | Moderate business context match
100,0fa7533d-93e5-11eb-b997-8dd98d09cf25,Comba Telecom Inc.,96.13,0,80,54.45,REVIEW,Strong name similarity | Strong business context match
100,01068362-93e5-11eb-aa66-9b8d95e2171b,Vasav Telecom,64.12,60,70,63.65,REVIEW,Moderate name similarity | Country match | Strong business context match
100,bc123527-8bac-11ee-b27d-7f55bd54b676,Mecadliber,35.7,60,25,43.28,REJECT,Country match | Some business context match
100,85816b51-93e4-11eb-a736-0f5b20ecb2f1,Comba Telecom,100,60,78,79.6,ACCEPT,Strong name similarity | Country match | Strong business context match
100,59098c09-120f-11ec-8f7b-8f599e779f27,Comba,72.57,60,68,66.63,REVIEW,Strong name similarity | Country match | Strong business context match
101,17df8322-93e5-11eb-b997-8dd98d09cf25,Metro Com Engineering S.p.A.,70,0,0,28,REJECT,Strong name similarity
101,9a8b9835-2d1b-11ed-9b51-a5c87fe4dd54,Adorea Systems,24.8,60,0,33.92,REJECT,Country match
101,1349e14e-e51b-11ed-a2f9-e7c0b9c60f29,Seliyan Com. Engineering,71.8,60,0,52.72,REVIEW,Strong name similarity | Country match
101,eb823b24-1e9c-11ee-918e-3b99085851a3,COMENGINEERING SDN BHD.,100,100,0,80,STRONG_ACCEPT,Strong name similarity | Perfect geographic match
101,09cfceab-1afb-11ec-a882-057f42292856,COM Engineering Ltd.,79.2,0,0,31.68,REJECT,Strong name similarity
102,03be7761-93e5-11eb-a746-fdabd18be9c6,All Property Solutions Singapore,78.75,100,25,76.5,ACCEPT,Strong name similarity | Perfect geographic match | Some business context match
102,8014aae6-1b04-11ec-a26e-73bd9076b4de,CommScope Solutions S Pte Ltd.,100,60,45,73,ACCEPT,Strong name similarity | Country match | Moderate business context match
102,03160489-1aff-11ec-b949-ef9d6b869404,CommScope,70.45,0,16,31.38,REJECT,Strong name similarity | Some business context match
102,02bc49a3-93e5-11eb-b89f-536884b3e7dd,HOMENET,30.2,100,45,61.08,REVIEW,Perfect geographic match | Moderate business context match
102,19b67251-066a-11ec-bd08-8b935d8b3904,CommScope APAC,60.55,60,0,48.22,REJECT,Moderate name similarity | Country match
103,ff338e8e-b929-11ed-89f1-bd62b3e1c745,Commscope Technologies Ag,100,60,40,72,ACCEPT,Strong name similarity | Country match | Moderate business context match
103,0094d3b3-1b06-11ec-8d54-8181ab1eaaa9,CommScope,80.82,0,0,32.33,REJECT,Strong name similarity
103,10ef1ac5-1b03-11ec-aa25-691e0b04b0d1,CommScope Wireless Systems AG,77.73,60,60,67.09,REVIEW,Strong name similarity | Country match | Strong business context match
103,9a166e87-93e4-11eb-b4a6-27899be4e45d,Internationales Steuerseminar Schweiz,31.1,100,15,55.44,REVIEW,Perfect geographic match | Some business context match
103,03160489-1aff-11ec-b949-ef9d6b869404,CommScope,80.82,0,25,37.33,REJECT,Strong name similarity | Some business context match
104,5d709397-f632-11ed-a085-b1696c913407,Commscope Technologies South Africa Pty Ltd.,92.43,0,40,44.97,REJECT,Strong name similarity | Moderate business context match
104,03160489-1aff-11ec-b949-ef9d6b869404,CommScope,79.72,0,10,33.89,REJECT,Strong name similarity | Some business context match
104,7e64da92-e11e-11ec-b909-77b33c15dd42,Commscope Technologies K Ltdtd,100,0,60,52,REVIEW,Strong name similarity | Strong business context match
104,0094d3b3-1b06-11ec-8d54-8181ab1eaaa9,CommScope,79.72,60,0,55.89,REVIEW,Strong name similarity | Country match
104,8ae295e3-f93d-11ed-ae1c-153ceaa0f897,CommScope Technologies Philippines Inc.,96.08,0,60,50.43,REVIEW,Strong name similarity | Strong business context match
105,8913e0f5-93e4-11eb-91fb-73d498260b10,Comviva Technologies,100,100,60,92,STRONG_ACCEPT,Strong name similarity | Perfect geographic match | Strong business context match
105,011a039b-4349-11ef-96e9-6bd6075c5431,BLG Technologies Pvt. Limited,90.33,60,50,70.13,ACCEPT,Strong name similarity | Country match | Moderate business context match
105,00c841d3-93e5-11eb-8e19-198fb02d6f96,MENTORRD,27,60,25,39.8,REJECT,Country match | Some business context match
105,0005fc86-c24f-11ec-b39b-1173556a0f3d,Integrated Technologies,72.87,60,80,69.15,REVIEW,Strong name similarity | Country match | Strong business context match
105,93efb984-93e4-11eb-8e19-198fb02d6f96,Comviva,73.67,60,45,62.47,REVIEW,Strong name similarity | Country match | Moderate business context match
106,33c93c45-a7e0-11ef-af89-216a077ca7fb,Conscia Danmark A/S.,100,60,20,68,REVIEW,Strong name similarity | Country match | Some business context match
